material_id,material_code,material_name,material_category,criticality,storage_condition,compendial_standard
1,RM-00001,Synthetic Material 001,Cleaning Agent,Non-Critical,15-25C,Internal
2,RM-00002,Synthetic Material 002,Buffer,High-Critical,-80C,EP
3,RM-00003,Synthetic Material 003,Cleaning Agent,High-Critical,15-25C,JP
4,RM-00004,Synthetic Material 004,Polymer,Non-Critical,-80C,USP
5,RM-00005,Synthetic Material 005,Cleaning Agent,Non-Critical,2-8C,USP
6,RM-00006,Synthetic Material 006,Excipient,High-Critical,-20C,EP
7,RM-00007,Synthetic Material 007,Cleaning Agent,Critical,-20C,EP
8,RM-00008,Synthetic Material 008,Buffer,Non-Critical,15-25C,EP
9,RM-00009,Synthetic Material 009,Media,Critical,15-25C,USP
10,RM-00010,Synthetic Material 010,Media,High-Critical,-20C,EP
11,RM-00011,Synthetic Material 011,Polymer,Non-Critical,-80C,JP
12,RM-00012,Synthetic Material 012,Single-Use,High-Critical,15-25C,USP
13,RM-00013,Synthetic Material 013,Reagent,Critical,-80C,Internal
14,RM-00014,Synthetic Material 014,Reagent,Non-Critical,-20C,JP
15,RM-00015,Synthetic Material 015,Excipient,High-Critical,15-25C,Internal
16,RM-00016,Synthetic Material 016,Media,Non-Critical,-20C,Internal
17,RM-00017,Synthetic Material 017,Reagent,Critical,2-8C,EP
18,RM-00018,Synthetic Material 018,Cleaning Agent,Critical,-80C,EP
19,RM-00019,Synthetic Material 019,Polymer,Non-Critical,2-8C,JP
20,RM-00020,Synthetic Material 020,Media,High-Critical,2-8C,EP
21,RM-00021,Synthetic Material 021,Reagent,Critical,15-25C,Internal
22,RM-00022,Synthetic Material 022,Buffer,Non-Critical,-20C,USP
23,RM-00023,Synthetic Material 023,Polymer,Non-Critical,-80C,EP
24,RM-00024,Synthetic Material 024,Excipient,Non-Critical,-80C,USP
25,RM-00025,Synthetic Material 025,Media,Critical,2-8C,Internal
26,RM-00026,Synthetic Material 026,Buffer,Non-Critical,15-25C,EP
27,RM-00027,Synthetic Material 027,Buffer,Critical,2-8C,JP
28,RM-00028,Synthetic Material 028,Reagent,High-Critical,-80C,Internal
29,RM-00029,Synthetic Material 029,Media,High-Critical,-80C,Internal
30,RM-00030,Synthetic Material 030,Polymer,Non-Critical,-20C,EP
31,RM-00031,Synthetic Material 031,Cleaning Agent,Non-Critical,15-25C,Internal
32,RM-00032,Synthetic Material 032,Single-Use,Critical,-80C,JP
33,RM-00033,Synthetic Material 033,Reagent,Critical,-20C,Internal
34,RM-00034,Synthetic Material 034,Polymer,Critical,2-8C,EP
35,RM-00035,Synthetic Material 035,Excipient,Critical,-80C,EP
36,RM-00036,Synthetic Material 036,Reagent,Critical,-20C,Internal
37,RM-00037,Synthetic Material 037,Polymer,Non-Critical,15-25C,Internal
38,RM-00038,Synthetic Material 038,Excipient,Non-Critical,2-8C,USP
39,RM-00039,Synthetic Material 039,Buffer,Critical,2-8C,EP
40,RM-00040,Synthetic Material 040,Reagent,Non-Critical,15-25C,JP
41,RM-00041,Synthetic Material 041,Media,Critical,-20C,Internal
42,RM-00042,Synthetic Material 042,Single-Use,Critical,15-25C,JP
43,RM-00043,Synthetic Material 043,Polymer,High-Critical,15-25C,EP
44,RM-00044,Synthetic Material 044,Cleaning Agent,High-Critical,-80C,USP
45,RM-00045,Synthetic Material 045,Excipient,Non-Critical,-20C,Internal
46,RM-00046,Synthetic Material 046,Cleaning Agent,Non-Critical,-20C,USP
47,RM-00047,Synthetic Material 047,Polymer,Critical,2-8C,USP
48,RM-00048,Synthetic Material 048,Excipient,Critical,15-25C,JP
49,RM-00049,Synthetic Material 049,Media,Non-Critical,-20C,USP
50,RM-00050,Synthetic Material 050,Buffer,Critical,2-8C,Internal
51,RM-00051,Synthetic Material 051,Excipient,Critical,-20C,USP
52,RM-00052,Synthetic Material 052,Buffer,Critical,15-25C,Internal
53,RM-00053,Synthetic Material 053,Buffer,Critical,2-8C,USP
54,RM-00054,Synthetic Material 054,Polymer,High-Critical,-20C,USP
55,RM-00055,Synthetic Material 055,Polymer,Critical,-20C,JP
56,RM-00056,Synthetic Material 056,Reagent,High-Critical,2-8C,JP
57,RM-00057,Synthetic Material 057,Buffer,Non-Critical,2-8C,JP
58,RM-00058,Synthetic Material 058,Buffer,Non-Critical,-20C,USP
59,RM-00059,Synthetic Material 059,Cleaning Agent,Non-Critical,2-8C,JP
60,RM-00060,Synthetic Material 060,Single-Use,High-Critical,2-8C,JP
61,RM-00061,Synthetic Material 061,Media,Non-Critical,-80C,USP
62,RM-00062,Synthetic Material 062,Buffer,Critical,-80C,Internal
63,RM-00063,Synthetic Material 063,Polymer,Critical,-20C,Internal
64,RM-00064,Synthetic Material 064,Single-Use,High-Critical,-20C,Internal
65,RM-00065,Synthetic Material 065,Buffer,Critical,2-8C,Internal
66,RM-00066,Synthetic Material 066,Buffer,Non-Critical,15-25C,EP
67,RM-00067,Synthetic Material 067,Buffer,Critical,2-8C,JP
68,RM-00068,Synthetic Material 068,Media,Non-Critical,15-25C,EP
69,RM-00069,Synthetic Material 069,Buffer,Non-Critical,15-25C,USP
70,RM-00070,Synthetic Material 070,Cleaning Agent,Critical,-80C,JP
71,RM-00071,Synthetic Material 071,Polymer,Non-Critical,-20C,EP
72,RM-00072,Synthetic Material 072,Single-Use,High-Critical,2-8C,EP
73,RM-00073,Synthetic Material 073,Media,Critical,15-25C,USP
74,RM-00074,Synthetic Material 074,Single-Use,Non-Critical,-80C,EP
75,RM-00075,Synthetic Material 075,Single-Use,High-Critical,15-25C,EP
76,RM-00076,Synthetic Material 076,Excipient,Non-Critical,-20C,EP
77,RM-00077,Synthetic Material 077,Buffer,Non-Critical,-20C,EP
78,RM-00078,Synthetic Material 078,Single-Use,High-Critical,2-8C,EP
79,RM-00079,Synthetic Material 079,Excipient,Non-Critical,2-8C,Internal
80,RM-00080,Synthetic Material 080,Excipient,Critical,2-8C,Internal
81,RM-00081,Synthetic Material 081,Cleaning Agent,Non-Critical,-80C,USP
82,RM-00082,Synthetic Material 082,Buffer,Critical,2-8C,JP
